Date,Region,Product,Customers,Revenue,Operating_Cost,Marketing_Cost,Profit
2023-04-05,South,Investment,74,173092,74538,11618,86936
2024-08-12,West,Investment,353,157844,45779,9886,102179
2023-04-15,South,Investment,309,189898,61811,9723,118364
2024-11-11,North,Insurance,441,90058,19356,12646,58056
2024-01-20,East,Credit Card,262,153235,56002,15799,81434
2022-02-07,South,Mortgage,164,71435,63865,16362,-8792
2022-08-18,West,Mortgage,237,132178,33140,18885,80153
2023-07-17,West,Investment,309,75308,88446,14928,-28066
2023-03-14,South,Investment,185,101113,49365,11365,40383
2022-01-27,North,Insurance,139,148328,10178,11540,126610
2022-08-14,North,Investment,270,24163,32168,16615,-24620
2024-03-08,East,Credit Card,65,63750,32561,5360,25829
2022-10-11,East,Investment,196,146942,47573,17107,82262
2024-05-28,West,Investment,434,35172,66551,14863,-46242
2024-08-17,West,Credit Card,150,57254,33744,9886,13624
2023-03-29,East,Loan,467,148091,53517,15192,79382
2024-10-16,East,Mortgage,268,79495,81867,3577,-5949
2024-03-26,East,Investment,417,150637,69183,14084,67370
2023-10-21,South,Credit Card,94,99831,79104,6297,14430
2023-07-01,East,Mortgage,112,99273,46754,8715,43804
2024-12-08,South,Insurance,399,30853,16240,5433,9180
2022-01-17,South,Loan,439,78116,24188,4424,49504
2022-06-07,East,Investment,341,193998,67835,18917,107246
2023-04-22,North,Loan,426,104346,38786,15785,49775
2024-12-05,North,Investment,408,36097,43077,9615,-16595
2023-06-02,West,Investment,115,84859,39887,5454,39518
2022-04-09,East,Investment,168,72398,52661,13805,5932
2024-11-26,West,Loan,283,107431,51765,13344,42322
2022-10-07,East,Insurance,57,138164,52286,5872,80006
2023-05-12,West,Credit Card,244,188023,44685,3505,139833
2022-10-29,South,Credit Card,276,178325,69968,12482,95875
2022-06-30,East,Insurance,76,124215,82035,17002,25178
2023-08-30,North,Insurance,339,98448,89414,11533,-2499
2023-12-01,East,Investment,77,148248,55370,3758,89120
2024-09-19,West,Investment,208,123512,12241,3944,107327
2022-07-10,West,Credit Card,194,192018,66393,19939,105686
2022-09-10,West,Investment,283,96652,28357,18170,50125
2024-09-07,West,Investment,157,187732,22232,3602,161898
2024-07-16,West,Insurance,428,71931,46746,16567,8618
2022-05-08,West,Loan,488,131590,44083,10767,76740
2022-01-18,North,Mortgage,252,28646,38005,2869,-12228
2023-07-20,West,Mortgage,314,72786,88802,3325,-19341
2023-07-24,North,Investment,362,174110,67954,11401,94755
2023-11-17,East,Investment,350,39630,70211,6247,-36828
2023-09-18,South,Mortgage,439,24304,36065,8050,-19811
2024-05-03,North,Insurance,447,118225,49563,7333,61329
2024-08-19,East,Mortgage,464,42007,82084,7606,-47683
2022-06-04,South,Mortgage,487,136821,25499,12172,99150
2023-05-05,North,Mortgage,60,145748,70733,17347,57668
2024-02-24,North,Investment,374,129833,84984,11534,33315
2022-09-03,East,Investment,144,74491,69691,11881,-7081
2024-11-28,West,Mortgage,179,165702,55975,13666,96061
2024-01-29,North,Investment,152,54489,41145,12054,1290
2023-06-22,North,Mortgage,322,75801,78218,6719,-9136
2024-07-09,East,Insurance,159,67068,83458,14056,-30446
2023-02-12,West,Investment,341,135874,23265,18919,93690
2023-06-09,South,Loan,180,37534,44905,17398,-24769
2024-04-07,West,Investment,240,185269,21767,2686,160816
2024-06-21,West,Insurance,348,77087,29190,8756,39141
2022-02-05,East,Insurance,142,53123,80386,10929,-38192
2023-11-16,West,Investment,338,22823,57555,19564,-54296
2022-01-20,East,Credit Card,255,159229,77493,4913,76823
2022-11-17,South,Mortgage,407,35581,42815,19171,-26405
2023-05-27,North,Mortgage,78,125847,86488,19156,20203
2023-02-04,North,Insurance,456,179033,34302,16755,127976
2023-10-16,East,Investment,236,146846,14561,9546,122739
2024-08-29,East,Credit Card,386,189109,23591,18061,147457
2023-04-16,West,Loan,226,173835,36640,2689,134506
2024-04-13,West,Mortgage,488,78535,10678,9955,57902
2023-12-28,North,Credit Card,380,41998,22137,16986,2875
2024-05-03,North,Mortgage,205,27085,27974,7267,-8156
2022-02-20,North,Investment,295,81508,45286,16617,19605
2023-07-29,East,Mortgage,248,197872,66284,13015,118573
2022-05-30,South,Loan,158,150611,27950,6019,116642
2022-11-10,South,Investment,409,102186,88948,6211,7027
2023-07-24,East,Insurance,121,92853,11805,7986,73062
2022-11-01,West,Credit Card,270,115022,67823,4587,42612
2023-11-13,South,Mortgage,330,169336,77656,17009,74671
2024-04-17,West,Investment,440,103468,20821,12426,70221
2024-12-13,North,Investment,426,53149,77478,9645,-33974
2024-09-29,North,Mortgage,263,185475,78363,5472,101640
2023-03-20,West,Insurance,124,30476,50148,16135,-35807
2023-09-05,North,Mortgage,467,195690,68114,7084,120492
2024-09-19,East,Insurance,291,79716,67410,12096,210
2022-09-21,West,Mortgage,199,158489,86629,4060,67800
2024-12-12,West,Investment,372,67893,66788,9463,-8358
2024-09-30,West,Loan,227,25570,36994,6454,-17878
2022-01-05,South,Loan,225,58818,51323,2822,4673
2024-02-13,West,Investment,153,136639,80031,19290,37318
2024-05-26,West,Loan,168,46021,27452,16001,2568
2024-09-18,West,Insurance,249,173401,22126,16788,134487
2024-06-02,South,Investment,119,183751,26221,8941,148589
2022-02-16,North,Insurance,106,69172,35886,6428,26858
2024-05-16,South,Investment,458,113536,50475,3573,59488
2024-04-02,East,Insurance,115,163963,81994,13248,68721
2024-07-24,West,Insurance,449,196572,60594,12343,123635
2023-10-18,East,Loan,107,158851,35904,14442,108505
2022-09-26,South,Investment,166,67369,75764,5250,-13645
2023-01-05,North,Mortgage,474,190980,47613,3341,140026
2023-09-28,North,Loan,356,74439,77506,4077,-7144
2023-10-19,West,Insurance,70,78425,50720,15471,12234
2022-04-30,North,Insurance,128,170104,41705,6529,121870
2024-04-10,South,Mortgage,361,93360,14227,19414,59719
2024-12-17,South,Mortgage,403,166040,28109,7564,130367
2024-01-11,North,Insurance,96,65379,19808,19167,26404
2022-04-27,West,Mortgage,423,123689,85625,7028,31036
2024-03-01,West,Credit Card,220,49757,26071,10781,12905
2024-10-09,South,Loan,133,67192,39017,10378,17797
2024-12-17,North,Investment,157,145343,20323,9518,115502
2023-09-26,South,Mortgage,336,100553,65337,11243,23973
2023-05-28,South,Mortgage,320,48332,64313,18873,-34854
2024-03-12,East,Credit Card,225,71604,34416,13204,23984
2023-07-14,South,Investment,367,26508,27639,11559,-12690
2023-05-03,West,Credit Card,119,195999,75936,6786,113277
2024-06-15,North,Investment,436,31933,56770,9880,-34717
2023-12-05,North,Loan,215,163177,72600,8258,82319
2023-08-04,East,Mortgage,392,195828,48407,6898,140523
2024-02-29,East,Loan,107,176032,31736,15840,128456
2024-05-10,West,Investment,294,73256,20174,7174,45908
2022-09-04,East,Mortgage,94,194594,56447,4585,133562
2022-06-03,South,Credit Card,221,27536,58749,18942,-50155
2024-09-23,South,Insurance,313,42836,52935,5609,-15708
2023-11-28,West,Credit Card,432,22217,46232,2312,-26327
2024-12-28,North,Insurance,115,48165,31450,9376,7339
2024-12-06,West,Credit Card,376,192111,65797,13485,112829
2024-10-05,East,Investment,238,49475,28798,16838,3839
2022-04-04,North,Loan,322,144639,21374,14057,109208
2024-08-15,North,Insurance,120,37361,75095,9208,-46942
2024-10-08,North,Investment,402,139590,76623,15979,46988
2023-03-29,East,Loan,85,164938,74179,3791,86968
2024-06-30,South,Loan,288,124356,13874,15157,95325
2022-08-06,South,Mortgage,117,39188,53507,6049,-20368
2023-04-19,East,Mortgage,157,76731,16499,16078,44154
2023-03-08,East,Mortgage,257,78929,19584,19993,39352
2022-12-07,West,Insurance,326,24390,52475,6611,-34696
2023-07-05,West,Insurance,259,157084,45461,7054,104569
2022-12-23,South,Loan,351,74436,78439,15332,-19335
2022-01-23,East,Insurance,479,47506,71302,15119,-38915
2023-06-06,West,Loan,397,149473,71844,17205,60424
2024-03-12,East,Investment,156,128306,81587,12483,34236
2024-02-01,East,Credit Card,429,105498,55423,15380,34695
2023-03-18,South,Loan,65,40548,64528,8094,-32074
2024-02-08,South,Loan,288,24651,81952,11737,-69038
2024-10-12,East,Investment,455,88492,13012,17824,57656
2023-05-31,North,Mortgage,439,124085,50312,10223,63550
2024-11-05,North,Mortgage,271,180243,48134,4632,127477
2024-03-02,East,Mortgage,489,135517,34433,8376,92708
2022-12-02,South,Loan,305,143609,31831,6494,105284
2022-09-15,North,Loan,350,86195,69096,9345,7754
2023-05-12,South,Insurance,491,27805,73954,2103,-48252
2024-06-14,North,Insurance,461,86296,59787,8178,18331
2022-06-09,East,Credit Card,194,116309,21055,2626,92628
2024-05-01,West,Credit Card,213,126827,64502,8453,53872
2023-11-21,West,Insurance,61,184798,23623,17471,143704
2023-01-15,South,Loan,99,113603,78232,12950,22421
2024-08-14,South,Investment,364,62718,19691,17460,25567
2023-11-22,North,Insurance,409,189680,86989,9521,93170
2024-12-02,East,Loan,61,155480,35076,7922,112482
2022-10-12,North,Insurance,239,87391,44424,14955,28012
2023-02-01,East,Mortgage,345,113321,29742,18124,65455
2022-01-12,East,Insurance,142,91157,16464,9905,64788
2023-05-14,South,Mortgage,179,120576,11896,5696,102984
2024-01-24,West,Loan,398,73346,84889,18762,-30305
2022-02-04,West,Mortgage,413,112550,75460,12719,24371
2023-12-28,South,Insurance,458,88698,75661,5920,7117
2024-04-28,West,Mortgage,390,105800,63439,13607,28754
2022-03-31,South,Investment,263,124821,69313,18452,37056
2024-02-15,North,Mortgage,379,73117,87013,19099,-32995
2023-08-28,East,Mortgage,432,79117,42397,4965,31755
2024-08-27,West,Credit Card,336,86144,82062,15323,-11241
2024-10-18,West,Investment,224,178328,78763,15404,84161
2023-02-22,North,Loan,493,28076,19017,5641,3418
2022-04-25,North,Mortgage,250,53908,70000,19827,-35919
2023-09-09,West,Investment,154,32353,73191,7686,-48524
2024-04-05,West,Loan,280,112290,73499,8204,30587
2023-02-17,South,Investment,147,197537,54903,4386,138248
2023-12-30,South,Credit Card,152,28173,36971,9005,-17803
2024-10-17,West,Loan,90,190075,60657,4351,125067
2024-01-31,South,Loan,483,25196,49800,17681,-42285
2023-11-07,North,Mortgage,200,158989,85966,12093,60930
2023-04-02,East,Insurance,317,199451,66232,4666,128553
2024-07-08,South,Loan,376,86274,29519,9319,47436
2022-07-11,East,Loan,401,161964,81621,7495,72848
2024-01-09,South,Credit Card,327,83541,57754,8427,17360
2024-09-04,West,Credit Card,105,187563,88317,13297,85949
2024-10-05,South,Credit Card,65,151729,24595,17672,109462
2022-04-06,East,Mortgage,491,150833,50710,13842,86281
2023-10-25,East,Loan,271,109232,67512,18665,23055
2022-02-06,West,Credit Card,228,104646,27552,12942,64152
2022-10-06,East,Credit Card,183,42572,59738,10853,-28019
2022-08-05,West,Investment,307,44421,26438,10671,7312
2024-05-16,West,Investment,111,22164,16777,8762,-3375
2024-05-22,East,Credit Card,172,126642,42651,9075,74916
2022-03-03,North,Mortgage,91,125106,38321,10740,76045
2023-08-19,East,Insurance,422,74292,18327,10834,45131
2023-12-30,East,Investment,422,90167,15142,18329,56696
2023-02-01,South,Investment,348,82939,18729,18747,45463
2023-11-30,East,Loan,101,139855,83463,9385,47007
2024-11-08,South,Loan,428,171970,78101,5687,88182
2022-06-26,South,Credit Card,491,123533,28112,17302,78119
2023-01-31,East,Loan,453,182804,31880,7177,143747
2023-03-21,West,Loan,361,138288,38986,18213,81089
2022-03-17,North,Insurance,116,64598,10707,15875,38016
2022-09-22,East,Mortgage,108,156268,27959,15578,112731
2023-03-31,East,Credit Card,353,137005,62141,16957,57907
2023-12-19,West,Insurance,84,53689,68528,11361,-26200
2024-01-05,South,Credit Card,185,106707,22418,16286,68003
2024-04-30,West,Mortgage,125,82548,81758,8511,-7721
2022-05-24,West,Credit Card,291,179187,30544,2590,146053
2024-06-03,South,Loan,337,126153,10568,16133,99452
2024-12-28,East,Mortgage,270,105949,60594,13707,31648
2023-01-31,West,Insurance,350,121282,76482,18514,26286
2024-11-14,West,Insurance,134,29279,70176,13012,-53909
2024-08-05,East,Investment,172,148239,22236,12901,113102
2024-06-09,East,Insurance,244,189617,83779,3972,101866
2023-07-23,North,Investment,151,42925,23231,18317,1377
2024-11-28,West,Loan,332,174487,21851,8577,144059
2022-04-19,North,Insurance,424,25572,58742,4154,-37324
2024-12-01,South,Mortgage,52,98221,33577,6008,58636
2024-07-23,East,Investment,362,180514,41770,4686,134058
2023-02-02,East,Insurance,498,106686,42023,17335,47328
2023-09-26,North,Loan,296,181496,89351,10460,81685
2024-01-03,West,Mortgage,197,123726,87962,4378,31386
2022-08-23,South,Mortgage,248,110539,25957,14396,70186
2023-10-20,West,Loan,170,170544,30911,6842,132791
2024-01-21,West,Insurance,218,59378,88111,7261,-35994
2023-08-11,North,Credit Card,50,125542,89900,7870,27772
2024-10-29,West,Insurance,379,42617,19321,7271,16025
2024-08-11,North,Investment,158,78052,63855,4066,10131
2023-05-07,East,Investment,437,84129,63880,5550,14699
2024-07-01,East,Insurance,376,171119,26999,10412,133708
2022-06-19,East,Investment,59,136076,77460,16623,41993
2024-08-03,South,Credit Card,176,72454,57756,2582,12116
2024-03-05,South,Credit Card,206,49270,46696,15271,-12697
2023-09-26,West,Mortgage,280,199938,14889,13191,171858
2022-01-29,North,Investment,64,194436,78308,19824,96304
2022-12-05,West,Insurance,324,130016,10918,10380,108718
2023-05-15,East,Mortgage,491,134400,58043,14736,61621
2023-05-26,West,Credit Card,415,23217,15195,19025,-11003
2022-08-05,West,Mortgage,486,148066,37818,6793,103455
2024-12-29,West,Loan,95,156888,47623,6936,102329
2023-03-21,East,Investment,323,61106,42378,6123,12605
2024-05-25,North,Insurance,155,188521,23113,8816,156592
2022-06-16,West,Credit Card,52,143859,26088,5667,112104
2022-04-01,East,Mortgage,375,85162,59425,4846,20891
2023-12-15,South,Insurance,302,110847,12345,13311,85191
2022-02-08,North,Investment,71,101363,71651,3018,26694
2022-06-22,East,Insurance,104,66175,29457,12546,24172
2023-10-15,West,Investment,423,158730,68299,11006,79425
2024-01-24,East,Investment,497,91588,15690,12126,63772
2024-12-17,North,Investment,346,86389,41331,14238,30820
2023-04-21,West,Mortgage,159,85783,47560,5492,32731
2023-04-01,South,Investment,422,145059,45656,11271,88132
2024-04-08,South,Insurance,272,66604,89526,3594,-26516
2024-06-13,South,Loan,297,173948,51556,3944,118448
2024-10-21,East,Insurance,185,188377,58149,19939,110289
2023-01-22,North,Mortgage,370,96031,69664,10879,15488
2022-12-14,South,Investment,436,193441,25490,12325,155626
2022-07-09,West,Loan,462,112664,63536,4958,44170
2023-05-20,West,Mortgage,295,148600,30745,10765,107090
2024-04-03,West,Credit Card,119,87999,51795,15325,20879
2024-07-17,East,Credit Card,67,165726,81922,7224,76580
2024-07-22,North,Credit Card,235,138425,19183,16513,102729
2022-05-14,North,Loan,166,94713,42357,12448,39908
2022-02-27,South,Insurance,306,74933,57111,2910,14912
2023-11-16,North,Loan,327,146934,71213,13326,62395
2023-11-03,West,Loan,144,41750,80217,7290,-45757
2022-06-22,West,Loan,456,88670,78282,17164,-6776
2024-03-25,East,Credit Card,441,199881,75207,19717,104957
2022-03-21,West,Insurance,462,167245,78821,18058,70366
2024-06-04,North,Loan,477,158742,78786,8136,71820
2022-07-22,West,Insurance,164,95148,57099,9891,28158
2024-02-03,South,Investment,111,172352,12652,14916,144784
2022-02-16,East,Loan,324,71469,73549,14520,-16600
2023-10-18,East,Loan,364,140839,56214,2162,82463
